89,GO-2004487997,2004/06/04 04:00:00+00,21,Evening,118
90,GO-2004457239,2004/06/04 04:00:00+00,18,Evening,137
91,GO-2004510279,2004/06/08 04:00:00+00,1,Night,2
92,GO-2004515049,2004/06/10 04:00:00+00,16,Afternoon,136
93,GO-2004525248,2004/06/11 04:00:00+00,20,Evening,77
94,GO-2004521591,2004/06/12 04:00:00+00,23,Evening,80
95,GO-2004518544,2004/06/12 04:00:00+00,0,Night,23
96,GO-2004513214,2004/06/13 04:00:00+00,18,Evening,73
97,GO-2004511158,2004/06/13 04:00:00+00,17,Afternoon,17
98,GO-2004513218,2004/06/14 04:00:00+00,17,Afternoon,14
99,GO-2004650414,2004/06/15 04:00:00+00,13,Afternoon,16
100,GO-2004505020,2004/06/17 04:00:00+00,1,Night,132
101,GO-2004510813,2004/06/19 04:00:00+00,17,Afternoon,23
102,GO-2004536122,2004/06/21 04:00:00+00,0,Night,117
103,GO-2004564223,2004/07/01 04:00:00+00,0,Night,24
104,GO-2004598521,2004/07/02 04:00:00+00,2,Night,132
105,GO-2004574277,2004/07/05 04:00:00+00,1,Night,14
106,GO-2004499572,2004/07/05 04:00:00+00,0,Night,26
107,GO-2004515430,2004/07/08 04:00:00+00,0,Night,93
109,GO-2004432295,2004/07/10 04:00:00+00,16,Afternoon,114
110,GO-2004602734,2004/07/13 04:00:00+00,17,Afternoon,25
111,GO-2004592201,2004/07/21 04:00:00+00,0,Night,48
112,GO-2004594159,2004/07/24 04:00:00+00,5,Night,77
113,GO-2004600109,2004/07/26 04:00:00+00,23,Evening,1
114,GO-2004612791,2004/07/29 04:00:00+00,19,Evening,1
115,GO-2004556110,2004/07/30 04:00:00+00,20,Evening,120
116,GO-2004608027,2004/08/01 04:00:00+00,18,Evening,113
117,GO-2004607150,2004/08/01 04:00:00+00,8,Morning,46
118,GO-2004717029,2004/08/10 04:00:00+00,23,Evening,5
119,GO-2004629200,2004/08/17 04:00:00+00,1,Night,25
120,GO-2004629203,2004/08/17 04:00:00+00,19,Evening,18
121,GO-2004630187,2004/08/19 04:00:00+00,0,Night,75
122,GO-2004637632,2004/08/25 04:00:00+00,23,Evening,136
123,GO-2004974875,2004/08/25 04:00:00+00,0,Night,77
124,GO-2004702788,2004/08/25 04:00:00+00,18,Evening,93
125,GO-2004637474,2004/08/25 04:00:00+00,7,Morning,76
126,GO-2004641880,2004/08/27 04:00:00+00,0,Night,111
127,GO-2004642019,2004/08/27 04:00:00+00,23,Evening,27
128,GO-2004642018,2004/08/27 04:00:00+00,19,Evening,113
129,GO-2004637844,2004/08/27 04:00:00+00,22,Evening,2
130,GO-2004640940,2004/08/28 04:00:00+00,19,Evening,118
131,GO-2004597291,2004/08/28 04:00:00+00,1,Night,113
132,GO-2004637869,2004/08/29 04:00:00+00,4,Night,54
133,GO-2004592255,2004/08/30 04:00:00+00,19,Evening,134
134,GO-2004642752,2004/08/31 04:00:00+00,4,Night,121
135,GO-2004647837,2004/09/01 04:00:00+00,21,Evening,93
136,GO-2004599316,2004/09/01 04:00:00+00,0,Night,113
139,GO-2004645696,2004/09/05 04:00:00+00,23,Evening,24
140,GO-2004641371,2004/09/06 04:00:00+00,4,Night,2
141,GO-2004646393,2004/09/08 04:00:00+00,14,Afternoon,2
142,GO-2004649788,2004/09/11 04:00:00+00,16,Afternoon,75
143,GO-2004654954,2004/09/11 04:00:00+00,23,Evening,136
144,GO-2004654953,2004/09/12 04:00:00+00,5,Night,75
145,GO-2004658110,2004/09/17 04:00:00+00,20,Evening,117
146,GO-2004663715,2004/09/18 04:00:00+00,4,Night,17
147,GO-2004658416,2004/09/20 04:00:00+00,19,Evening,73
148,GO-2004650681,2004/09/21 04:00:00+00,0,Night,1
149,GO-2004668846,2004/09/24 04:00:00+00,1,Night,70
150,GO-2004669350,2004/09/26 04:00:00+00,4,Night,113
151,GO-2004676605,2004/09/29 04:00:00+00,7,Morning,74
152,GO-2004497549,2004/09/30 04:00:00+00,23,Evening,117
153,GO-2004676793,2004/10/09 04:00:00+00,3,Night,111
154,GO-2004685734,2004/10/14 04:00:00+00,19,Evening,45
155,GO-20041036512,2004/10/15 04:00:00+00,5,Night,138
157,GO-2004687286,2004/10/17 04:00:00+00,3,Night,83
158,GO-2004480388,2004/10/19 04:00:00+00,21,Evening,1
159,GO-2004684041,2004/10/20 04:00:00+00,20,Evening,92
161,GO-2004619258,2004/10/27 04:00:00+00,20,Evening,45
162,GO-2004439509,2004/10/30 04:00:00+00,2,Night,26
163,GO-2004695551,2004/10/31 04:00:00+00,4,Night,113
164,GO-2004676368,2004/11/04 05:00:00+00,11,Morning,32
165,GO-2004707339,2004/11/05 05:00:00+00,22,Evening,107
166,GO-2004704991,2004/11/07 05:00:00+00,11,Morning,77
167,GO-2004704992,2004/11/07 05:00:00+00,20,Evening,117
168,GO-2004491397,2004/11/10 05:00:00+00,12,Afternoon,118
169,GO-2004691183,2004/11/14 05:00:00+00,4,Night,26
170,GO-2004696934,2004/11/15 05:00:00+00,17,Afternoon,1
171,GO-2004710040,2004/11/15 05:00:00+00,19,Evening,14
172,GO-2004715205,2004/11/16 05:00:00+00,0,Night,2
173,GO-2004431138,2004/11/21 05:00:00+00,20,Evening,111
174,GO-2004696937,2004/11/25 05:00:00+00,1,Night,1
175,GO-2004741422,2004/11/27 05:00:00+00,0,Night,85
176,GO-2004734100,2004/11/28 05:00:00+00,17,Afternoon,26
177,GO-2004734427,2004/11/28 05:00:00+00,0,Night,117
178,GO-2004790656,2004/12/03 05:00:00+00,18,Evening,72
179,GO-2004756919,2004/12/09 05:00:00+00,0,Night,108
180,GO-2004732104,2004/12/09 05:00:00+00,0,Night,45
181,GO-2004768032,2004/12/13 05:00:00+00,15,Afternoon,130
182,GO-2004773793,2004/12/15 05:00:00+00,19,Evening,117
183,GO-2004736004,2004/12/19 05:00:00+00,0,Night,75
184,GO-2004811677,2004/12/19 05:00:00+00,17,Afternoon,124
185,GO-2004730003,2004/12/20 05:00:00+00,18,Evening,44
186,GO-2004750027,2004/12/21 05:00:00+00,22,Evening,113
187,GO-2004823002,2004/12/25 05:00:00+00,0,Night,128
188,GO-2004710035,2004/12/29 05:00:00+00,0,Night,117
189,GO-2004773806,2004/12/29 05:00:00+00,15,Afternoon,117
190,GO-2004861470,2004/12/29 05:00:00+00,23,Evening,39
191,GO-2004774602,2004/12/30 05:00:00+00,20,Evening,88
192,GO-2005860182,2005/01/01 05:00:00+00,0,Night,90
193,GO-2005776512,2005/01/03 05:00:00+00,22,Evening,43
194,GO-2005736236,2005/01/03 05:00:00+00,21,Evening,125
195,GO-2005773453,2005/01/09 05:00:00+00,3,Night,77
196,GO-2005999284,2005/01/09 05:00:00+00,3,Night,77
197,GO-2005774710,2005/01/09 05:00:00+00,21,Evening,97
198,GO-2005866828,2005/01/11 05:00:00+00,0,Night,137
199,GO-20051443627,2005/01/19 05:00:00+00,21,Evening,16
200,GO-2005774900,2005/01/21 05:00:00+00,1,Night,25
201,GO-2005920738,2005/01/21 05:00:00+00,21,Evening,82
202,GO-2005772582,2005/01/26 05:00:00+00,18,Evening,25
203,GO-2005873262,2005/01/26 05:00:00+00,0,Night,116
204,GO-2005883036,2005/01/28 05:00:00+00,21,Evening,13
205,GO-2005896053,2005/01/29 05:00:00+00,23,Evening,52
206,GO-2005919556,2005/01/30 05:00:00+00,0,Night,30
207,GO-20051064463,2005/02/01 05:00:00+00,0,Night,126
208,GO-2005732268,2005/02/01 05:00:00+00,22,Evening,25
209,GO-2005901779,2005/02/06 05:00:00+00,23,Evening,139
210,GO-2005928264,2005/02/07 05:00:00+00,21,Evening,37
211,GO-2005832576,2005/02/09 05:00:00+00,20,Evening,73
212,GO-2005951634,2005/02/11 05:00:00+00,17,Afternoon,76
213,GO-2005901792,2005/02/11 05:00:00+00,0,Night,136
214,GO-2005787630,2005/02/12 05:00:00+00,23,Evening,78
215,GO-2005736672,2005/02/12 05:00:00+00,0,Night,2
216,GO-2005955160,2005/02/13 05:00:00+00,0,Night,3
217,GO-2005918414,2005/02/15 05:00:00+00,23,Evening,71
219,GO-2005955718,2005/02/20 05:00:00+00,0,Night,77
220,GO-2005943518,2005/02/21 05:00:00+00,0,Night,70
221,GO-2005943440,2005/02/26 05:00:00+00,1,Night,138
222,GO-2005776194,2005/02/27 05:00:00+00,2,Night,137
223,GO-2005969241,2005/02/28 05:00:00+00,2,Night,35
224,GO-2005953782,2005/03/04 05:00:00+00,2,Night,45
225,GO-2005953786,2005/03/05 05:00:00+00,20,Evening,42
226,GO-2005968835,2005/03/05 05:00:00+00,23,Evening,117
227,GO-2005949471,2005/03/06 05:00:00+00,6,Morning,137
228,GO-2005743293,2005/03/12 05:00:00+00,2,Night,77
229,GO-2005986104,2005/03/13 05:00:00+00,1,Night,128
230,GO-2005773526,2005/03/15 05:00:00+00,16,Afternoon,57
231,GO-2005993468,2005/03/16 05:00:00+00,2,Night,123
232,GO-20051030464,2005/03/17 05:00:00+00,10,Morning,73
233,GO-2005946945,2005/03/20 05:00:00+00,20,Evening,24
234,GO-20051016691,2005/03/21 05:00:00+00,17,Afternoon,31
235,GO-20051017308,2005/03/23 05:00:00+00,11,Morning,48
236,GO-2005761483,2005/03/25 05:00:00+00,21,Evening,57
237,GO-2005758325,2005/03/25 05:00:00+00,10,Morning,76
238,GO-20051017403,2005/03/25 05:00:00+00,1,Night,21
239,GO-2005743823,2005/03/27 05:00:00+00,14,Afternoon,24
240,GO-2005961606,2005/03/30 05:00:00+00,3,Evening,83
241,GO-2005771937,2005/03/31 05:00:00+00,16,Afternoon,7
242,GO-20051013463,2005/03/31 05:00:00+00,15,Afternoon,1
243,GO-2005777302,2005/04/01 05:00:00+00,0,Night,97
244,GO-2005782484,2005/04/02 05:00:00+00,2,Night,77
245,GO-2005799672,2005/04/07 04:00:00+00,3,Night,17
246,GO-20051008036,2005/04/08 04:00:00+00,20,Evening,117
247,GO-20051018414,2005/04/09 04:00:00+00,0,Night,1
248,GO-2005743298,2005/04/10 04:00:00+00,16,Afternoon,73
249,GO-2005884190,2005/04/13 04:00:00+00,0,Night,122
251,GO-2005954900,2005/04/15 04:00:00+00,15,Afternoon,135
252,GO-2005843089,2005/04/17 04:00:00+00,23,Evening,73
253,GO-2005838233,2005/04/17 04:00:00+00,1,Night,132
254,GO-20051052948,2005/04/18 04:00:00+00,20,Evening,85
255,GO-20051061840,2005/04/19 04:00:00+00,0,Night,95
256,GO-2005893223,2005/04/22 04:00:00+00,12,Afternoon,136
257,GO-20051017873,2005/04/24 04:00:00+00,0,Night,78
258,GO-20051023674,2005/04/24 04:00:00+00,15,Afternoon,53
259,GO-2005739652,2005/04/24 04:00:00+00,3,Night,21
260,GO-2005734608,2005/04/26 04:00:00+00,0,Night,73
261,GO-2005772597,2005/04/28 04:00:00+00,15,Afternoon,25
262,GO-20051017468,2005/05/02 04:00:00+00,22,Evening,25
263,GO-20051056629,2005/05/02 04:00:00+00,16,Afternoon,38
265,GO-2005761194,2005/05/05 04:00:00+00,10,Morning,113
266,GO-2005868853,2005/05/05 04:00:00+00,19,Evening,11
267,GO-2005739574,2005/05/05 04:00:00+00,2,Night,83
268,GO-2005736703,2005/05/06 04:00:00+00,0,Night,7
269,GO-2005805940,2005/05/07 04:00:00+00,19,Evening,25
270,GO-2005800470,2005/05/07 04:00:00+00,3,Night,51
271,GO-2005770056,2005/05/07 04:00:00+00,0,Night,69
272,GO-2005756176,2005/05/08 04:00:00+00,0,Night,69
273,GO-2005997256,2005/05/08 04:00:00+00,0,Night,117
274,GO-20051001532,2005/05/14 04:00:00+00,0,Night,75
275,GO-2005863844,2005/05/15 04:00:00+00,2,Night,137
276,GO-2005975202,2005/05/17 04:00:00+00,0,Night,26
277,GO-2005988453,2005/05/18 04:00:00+00,1,Night,136
278,GO-20051084815,2005/05/18 04:00:00+00,3,Night,26
280,GO-2005963484,2005/05/20 04:00:00+00,15,Afternoon,137
281,GO-20051054082,2005/05/22 04:00:00+00,0,Night,25
282,GO-20051094038,2005/05/23 04:00:00+00,0,Night,115
283,GO-20051050162,2005/05/23 04:00:00+00,22,Evening,27
285,GO-2005970809,2005/05/25 04:00:00+00,18,Evening,27
286,GO-2005746522,2005/05/27 04:00:00+00,0,Night,31
287,GO-20051001211,2005/05/28 04:00:00+00,15,Afternoon,22
288,GO-2005795107,2005/06/01 04:00:00+00,0,Night,32
289,GO-2005985784,2005/06/01 04:00:00+00,21,Evening,1
290,GO-2005974161,2005/06/05 04:00:00+00,22,Evening,24
291,GO-20051040265,2005/06/07 04:00:00+00,1,Night,1
292,GO-20051057010,2005/06/08 04:00:00+00,17,Afternoon,21
293,GO-20051094669,2005/06/08 04:00:00+00,20,Evening,130
294,GO-2005761112,2005/06/11 04:00:00+00,2,Night,25
295,GO-2005958231,2005/06/11 04:00:00+00,18,Evening,1
296,GO-20051028610,2005/06/12 04:00:00+00,0,Night,28
297,GO-2005760646,2005/06/12 04:00:00+00,1,Night,62
298,GO-2005941352,2005/06/12 04:00:00+00,23,Evening,6
299,GO-20051050591,2005/06/14 04:00:00+00,13,Afternoon,22
300,GO-20051094687,2005/06/14 04:00:00+00,0,Night,117
301,GO-2005794639,2005/06/15 04:00:00+00,14,Afternoon,66
302,GO-20051226905,2005/06/16 04:00:00+00,0,Night,2
303,GO-20051079989,2005/06/16 04:00:00+00,2,Night,77
304,GO-2005774096,2005/06/17 04:00:00+00,15,Afternoon,126
306,GO-2005744588,2005/06/18 04:00:00+00,1,Night,14
307,GO-2005952369,2005/06/18 04:00:00+00,0,Night,24
308,GO-20051042368,2005/06/18 04:00:00+00,4,Night,93
309,GO-20051072297,2005/06/19 04:00:00+00,2,Night,75
310,GO-2005955520,2005/06/22 04:00:00+00,19,Evening,118
311,GO-20051000509,2005/06/24 04:00:00+00,21,Evening,24
312,GO-20051083309,2005/06/24 04:00:00+00,20,Evening,12
313,GO-20051059938,2005/06/25 04:00:00+00,0,Night,110
314,GO-20051038563,2005/06/26 04:00:00+00,3,Night,117
315,GO-2005815617,2005/06/26 04:00:00+00,21,Evening,93
317,GO-20051055377,2005/06/28 04:00:00+00,0,Night,113
318,GO-20051086009,2005/06/29 04:00:00+00,1,Night,93
319,GO-2005847703,2005/07/02 04:00:00+00,19,Evening,1
320,GO-2005743846,2005/07/04 04:00:00+00,0,Night,24
